
Task: 1, Test Name: Validate Account, DOM ID: DIV__dropdowndr__55, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Account, DOM ID: DIV__dropdowndr__55, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate Account, DOM ID: DIV__dropdowndr__55, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Account, DOM ID: DIV__dropdowndr__55, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Account, DOM ID: DIV__dropdowndr__55, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Account, DOM ID: DIV__dropdowndr__55, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate Account, DOM ID: DIV__dropdowndr__55, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Fail
Task: 1, Test Name: Validate ApplitoolsLogo, DOM ID: logo, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate ApplitoolsLogo, DOM ID: logo, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate ApplitoolsLogo, DOM ID: logo, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate ApplitoolsLogo, DOM ID: logo, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate ApplitoolsLogo, DOM ID: logo, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate ApplitoolsLogo, DOM ID: logo, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate ApplitoolsLogo, DOM ID: logo, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Black Filter Section, DOM ID: LI____103, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Black Filter Section, DOM ID: LI____103, Browser: CHROME, Viewport: 500X700, Device: MOBILE, Status:Pass
Task: 1, Test Name: Validate Black Filter Section, DOM ID: LI____103, Browser: FIREFOX, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Black Filter Section, DOM ID: LI____103, Browser: CHROME, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Black Filter Section, DOM ID: LI____103, Browser: EDGE_CHROMIUM, Viewport: 1200X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Black Filter Section, DOM ID: LI____103, Browser: EDGE_CHROMIUM, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Black Filter Section, DOM ID: LI____103, Browser: FIREFOX, Viewport: 768X700, Device: LAPTOP, Status:Pass
Task: 1, Test Name: Validate Cart Button, DOM ID: DIV__dropdowndr__48, Browser: CHROME, Viewport: 1200X700, Device: LAPTOP, Status:Pass
